month,SUPPLIER,LICENSEE,PART,qty,month_amt,ytd_amt
2023-06,nippon-metal,ninja-roofing,glass-clip,225,231600,464100
2023-06,nippon-metal,ninja-roofing,glass-decoration,94,79000,302200
2023-06,nippon-metal,ninja-roofing,gold-clip,101,56800,363300
2023-06,nippon-metal,ninja-roofing,gold-decoration,180,91500,176100
2023-06,nippon-metal,ninja-roofing,roof-polish,105,21900,46000
2023-06,nippon-metal,rice-roofers,glass-clip,250,252600,640100
2023-06,nippon-metal,rice-roofers,glass-decoration,117,84500,122200
2023-06,nippon-metal,rice-roofers,gold-clip,120,54500,125300
2023-06,nippon-metal,rice-roofers,gold-decoration,250,127700,249600
2023-06,nippon-metal,rice-roofers,roof-polish,96,18900,41900
2023-06,nippon-metal,rice-roofers,tin-clip,74,9600,31300
2023-06,us-steel,global-roof,glass-decoration,183,143400,463000
2023-06,us-steel,global-roof,gold-clip,238,140300,272700
2023-06,us-steel,global-roof,gold-decoration,141,65500,159500
2023-06,us-steel,global-roof,roof-polish,142,31300,97400
2023-06,us-steel,global-roof,tin-clip,235,22400,46500
2023-06,us-steel,global-roof,tin-decoration,142,12800,79900
2023-06,us-steel,ranger-roofing,glass-clip,218,215500,268400
2023-06,us-steel,ranger-roofing,gold-clip,140,90200,249600
2023-06,us-steel,ranger-roofing,gold-decoration,169,63300,201300
2023-06,us-steel,ranger-roofing,tin-clip,52,6100,33900
2023-06,us-steel,ranger-roofing,tin-decoration,232,23800,23800
2023-06,us-steel,zztop-roof,glass-clip,249,267400,580500
2023-06,us-steel,zztop-roof,glass-decoration,98,94000,404300
2023-06,us-steel,zztop-roof,gold-clip,70,43700,105000
2023-06,us-steel,zztop-roof,gold-decoration,202,97800,211000
2023-06,us-steel,zztop-roof,roof-polish,54,13700,13700
2023-06,us-steel,zztop-roof,tin-clip,125,13000,41100
2023-06,us-steel,zztop-roof,tin-decoration,194,22200,66000
2023-07,nippon-metal,global-roof,glass-clip,226,293100,368500
2023-07,nippon-metal,global-roof,glass-decoration,173,166100,335100
2023-07,nippon-metal,global-roof,gold-clip,93,55600,130500
2023-07,nippon-metal,global-roof,gold-decoration,180,78700,172500
2023-07,nippon-metal,global-roof,roof-polish,217,51200,89000
2023-07,nippon-metal,global-roof,tin-clip,94,9200,16300
2023-07,nippon-metal,global-roof,tin-decoration,160,13100,24700
2023-07,nippon-metal,ninja-roofing,glass-clip,245,263800,727900
2023-07,nippon-metal,ninja-roofing,glass-decoration,118,91400,393600
2023-07,nippon-metal,ninja-roofing,gold-clip,207,94200,457500
2023-07,nippon-metal,ninja-roofing,gold-decoration,129,59200,235300
2023-07,nippon-metal,ninja-roofing,roof-polish,133,27600,73600
2023-07,nippon-metal,ninja-roofing,tin-clip,122,12700,49000
2023-07,nippon-metal,ninja-roofing,tin-decoration,211,20200,35200
2023-07,nippon-metal,rice-roofers,glass-decoration,68,65100,187300
2023-07,nippon-metal,rice-roofers,roof-polish,135,26000,67900
2023-07,nippon-metal,rice-roofers,tin-decoration,226,25200,39800
2023-07,us-steel,global-roof,glass-clip,183,232500,903700
2023-07,us-steel,global-roof,glass-decoration,45,33000,496000
2023-07,us-steel,global-roof,gold-decoration,168,86500,246000
2023-07,us-steel,global-roof,roof-polish,165,34900,132300
2023-07,us-steel,global-roof,tin-clip,175,17900,64400
2023-07,us-steel,ranger-roofing,glass-clip,67,60800,329200
2023-07,us-steel,ranger-roofing,glass-decoration,137,120900,332800
2023-07,us-steel,ranger-roofing,gold-clip,42,19500,269100
2023-07,us-steel,ranger-roofing,gold-decoration,206,86900,288200
2023-07,us-steel,ranger-roofing,roof-polish,208,43400,178800
2023-07,us-steel,ranger-roofing,tin-clip,159,18500,52400
2023-07,us-steel,ranger-roofing,tin-decoration,209,19000,42800
2023-08,nippon-metal,global-roof,glass-clip,77,89500,458000
2023-08,nippon-metal,global-roof,glass-decoration,184,186500,521600
2023-08,nippon-metal,global-roof,gold-clip,235,120700,251200
2023-08,nippon-metal,global-roof,gold-decoration,70,27300,199800
2023-08,nippon-metal,global-roof,roof-polish,176,45000,134000
2023-08,nippon-metal,global-roof,tin-clip,77,9200,25500
2023-08,nippon-metal,global-roof,tin-decoration,121,10100,34800
2023-08,nippon-metal,ninja-roofing,glass-clip,97,93200,821100
2023-08,nippon-metal,ninja-roofing,glass-decoration,105,105100,498700
2023-08,nippon-metal,ninja-roofing,gold-clip,247,114200,571700
2023-08,nippon-metal,ninja-roofing,roof-polish,248,64300,137900
2023-08,nippon-metal,ninja-roofing,tin-decoration,182,21000,56200
2023-08,nippon-metal,rice-roofers,glass-decoration,149,153600,340900
2023-08,nippon-metal,rice-roofers,gold-decoration,194,80100,329700
2023-08,nippon-metal,rice-roofers,tin-clip,101,11400,42700
2023-08,nippon-metal,rice-roofers,tin-decoration,178,15300,55100
2023-08,us-steel,global-roof,glass-clip,238,218200,1121900
2023-08,us-steel,global-roof,glass-decoration,123,122700,618700
2023-08,us-steel,global-roof,gold-clip,224,114800,387500
2023-08,us-steel,global-roof,roof-polish,103,22100,154400
2023-08,us-steel,global-roof,tin-clip,228,28000,92400
2023-08,us-steel,global-roof,tin-decoration,197,19400,99300
2023-08,us-steel,ranger-roofing,glass-clip,139,152400,481600
2023-08,us-steel,ranger-roofing,gold-clip,235,151300,420400
2023-08,us-steel,ranger-roofing,gold-decoration,97,35400,323600
2023-08,us-steel,ranger-roofing,roof-polish,75,14500,193300
2023-08,us-steel,zztop-roof,glass-clip,131,122100,702600
2023-08,us-steel,zztop-roof,gold-clip,87,39600,144600
2023-08,us-steel,zztop-roof,gold-decoration,196,89900,300900
2023-08,us-steel,zztop-roof,roof-polish,195,43900,57600
2023-08,us-steel,zztop-roof,tin-clip,99,11600,52700
2023-08,us-steel,zztop-roof,tin-decoration,99,10100,76100
2023-09,nippon-metal,global-roof,glass-clip,69,81600,539600
2023-09,nippon-metal,global-roof,gold-clip,227,107800,359000
2023-09,nippon-metal,global-roof,gold-decoration,206,104100,303900
2023-09,nippon-metal,global-roof,tin-clip,243,23500,49000
2023-09,nippon-metal,ninja-roofing,glass-clip,172,191800,1012900
2023-09,nippon-metal,ninja-roofing,glass-decoration,201,206600,705300
2023-09,nippon-metal,ninja-roofing,gold-clip,141,88400,660100
2023-09,nippon-metal,ninja-roofing,gold-decoration,238,117200,352500
2023-09,nippon-metal,ninja-roofing,roof-polish,228,41800,179700
2023-09,nippon-metal,ninja-roofing,tin-clip,139,15400,64400
2023-09,nippon-metal,ninja-roofing,tin-decoration,88,8100,64300
2023-09,nippon-metal,rice-roofers,glass-clip,86,104200,744300
2023-09,nippon-metal,rice-roofers,gold-clip,224,123200,248500
2023-09,nippon-metal,rice-roofers,gold-decoration,155,56400,386100
2023-09,nippon-metal,rice-roofers,roof-polish,156,35400,103300
2023-09,nippon-metal,rice-roofers,tin-clip,218,24400,67100
2023-09,nippon-metal,rice-roofers,tin-decoration,140,13400,68500
2023-09,us-steel,global-roof,glass-clip,236,279600,1401500
2023-09,us-steel,global-roof,glass-decoration,147,120300,739000
2023-09,us-steel,global-roof,roof-polish,154,31300,185700
2023-09,us-steel,global-roof,tin-clip,86,8100,100500
2023-09,us-steel,global-roof,tin-decoration,226,24600,123900
2023-09,us-steel,zztop-roof,glass-clip,242,312200,1014800
2023-09,us-steel,zztop-roof,glass-decoration,196,200700,605000
2023-09,us-steel,zztop-roof,gold-decoration,136,60900,361800
2023-10,nippon-metal,global-roof,gold-decoration,209,98400,402300
2023-10,nippon-metal,global-roof,tin-clip,212,21500,70500
2023-10,nippon-metal,global-roof,tin-decoration,192,19500,54300
2023-10,nippon-metal,ninja-roofing,glass-clip,200,224600,1237500
2023-10,nippon-metal,ninja-roofing,glass-decoration,180,145600,850900
2023-10,nippon-metal,ninja-roofing,gold-clip,190,110600,770700
2023-10,nippon-metal,ninja-roofing,gold-decoration,60,27400,379900
2023-10,nippon-metal,ninja-roofing,roof-polish,166,33000,212700
2023-10,nippon-metal,ninja-roofing,tin-clip,156,16600,81000
2023-10,nippon-metal,ninja-roofing,tin-decoration,41,3700,68000
2023-10,nippon-metal,rice-roofers,roof-polish,48,11200,114500
2023-10,nippon-metal,rice-roofers,tin-clip,194,19800,86900
2023-10,nippon-metal,rice-roofers,tin-decoration,129,10600,79100
2023-10,us-steel,global-roof,glass-clip,73,83600,1485100
2023-10,us-steel,global-roof,glass-decoration,201,176700,915700
2023-10,us-steel,global-roof,gold-clip,167,92500,480000
2023-10,us-steel,global-roof,gold-decoration,199,82900,328900
2023-10,us-steel,global-roof,roof-polish,246,47800,233500
2023-10,us-steel,ranger-roofing,glass-clip,62,67800,549400
2023-10,us-steel,ranger-roofing,glass-decoration,186,177400,510200
2023-10,us-steel,ranger-roofing,tin-clip,216,24700,77100
2023-10,us-steel,ranger-roofing,tin-decoration,201,20100,62900
2023-10,us-steel,zztop-roof,glass-clip,249,230800,1245600
2023-10,us-steel,zztop-roof,glass-decoration,134,135000,740000
2023-10,us-steel,zztop-roof,gold-clip,149,92200,236800
2023-10,us-steel,zztop-roof,gold-decoration,74,28100,389900
2023-10,us-steel,zztop-roof,tin-clip,56,5700,58400
2023-10,us-steel,zztop-roof,tin-decoration,110,10200,86300
2023-11,nippon-metal,global-roof,glass-clip,244,223100,762700
2023-11,nippon-metal,global-roof,glass-decoration,54,53300,574900
2023-11,nippon-metal,global-roof,gold-clip,145,92200,451200
2023-11,nippon-metal,global-roof,gold-decoration,158,76700,479000
2023-11,nippon-metal,global-roof,roof-polish,177,44500,178500
2023-11,nippon-metal,global-roof,tin-clip,74,8100,78600
2023-11,nippon-metal,global-roof,tin-decoration,200,19500,73800
2023-11,nippon-metal,ninja-roofing,glass-decoration,146,124500,975400
2023-11,nippon-metal,ninja-roofing,gold-decoration,125,52000,431900
2023-11,nippon-metal,ninja-roofing,roof-polish,93,22700,235400
2023-11,nippon-metal,ninja-roofing,tin-clip,243,23000,104000
2023-11,nippon-metal,rice-roofers,glass-decoration,116,102300,443200
2023-11,nippon-metal,rice-roofers,gold-clip,69,40500,289000
2023-11,nippon-metal,rice-roofers,tin-clip,242,22400,109300
2023-11,nippon-metal,rice-roofers,tin-decoration,122,13300,92400
2023-11,us-steel,ranger-roofing,glass-clip,145,135500,684900
2023-11,us-steel,ranger-roofing,glass-decoration,63,54300,564500
2023-11,us-steel,ranger-roofing,gold-clip,239,117200,537600
2023-11,us-steel,ranger-roofing,gold-decoration,100,41900,365500
2023-11,us-steel,ranger-roofing,roof-polish,135,32800,226100
2023-11,us-steel,ranger-roofing,tin-clip,117,11300,88400
2023-11,us-steel,ranger-roofing,tin-decoration,117,10400,73300
2023-11,us-steel,zztop-roof,glass-clip,124,151300,1396900
2023-11,us-steel,zztop-roof,gold-clip,136,78200,315000
2023-11,us-steel,zztop-roof,roof-polish,243,50600,108200
2023-11,us-steel,zztop-roof,tin-clip,78,7900,66300
2023-11,us-steel,zztop-roof,tin-decoration,47,4400,90700
2023-12,nippon-metal,global-roof,glass-clip,93,95600,858300
2023-12,nippon-metal,global-roof,glass-decoration,234,191900,766800
2023-12,nippon-metal,global-roof,gold-clip,119,54100,505300
2023-12,nippon-metal,global-roof,gold-decoration,89,36100,515100
2023-12,nippon-metal,global-roof,roof-polish,236,54900,233400
2023-12,nippon-metal,global-roof,tin-clip,51,4800,83400
2023-12,nippon-metal,global-roof,tin-decoration,176,16300,90100
2023-12,nippon-metal,ninja-roofing,glass-clip,172,201400,1438900
2023-12,nippon-metal,ninja-roofing,gold-clip,123,58900,829600
2023-12,nippon-metal,ninja-roofing,gold-decoration,65,32000,463900
2023-12,nippon-metal,ninja-roofing,roof-polish,73,14300,249700
2023-12,us-steel,ranger-roofing,glass-decoration,160,161400,725900
2023-12,us-steel,ranger-roofing,gold-clip,119,68100,605700
2023-12,us-steel,ranger-roofing,roof-polish,52,9900,236000
2023-12,us-steel,ranger-roofing,tin-clip,52,4900,93300
2023-12,us-steel,ranger-roofing,tin-decoration,126,12700,86000
2023-12,us-steel,zztop-roof,glass-decoration,66,51900,791900
2023-12,us-steel,zztop-roof,gold-clip,69,31300,346300
2023-12,us-steel,zztop-roof,tin-decoration,199,20100,110800
2024-01,nippon-metal,global-roof,glass-clip,243,229100,229100
2024-01,nippon-metal,global-roof,glass-decoration,145,115500,115500
2024-01,nippon-metal,global-roof,roof-polish,182,42200,42200
2024-01,nippon-metal,global-roof,tin-clip,158,16800,16800
2024-01,nippon-metal,global-roof,tin-decoration,242,22200,22200
2024-01,nippon-metal,ninja-roofing,glass-clip,234,273400,273400
2024-01,nippon-metal,ninja-roofing,glass-decoration,176,131100,131100
2024-01,nippon-metal,ninja-roofing,gold-clip,185,88100,88100
2024-01,nippon-metal,ninja-roofing,gold-decoration,233,112400,112400
2024-01,nippon-metal,ninja-roofing,roof-polish,218,47400,47400
2024-01,nippon-metal,ninja-roofing,tin-clip,156,16000,16000
2024-01,nippon-metal,ninja-roofing,tin-decoration,248,27300,27300
2024-01,nippon-metal,rice-roofers,glass-clip,47,43500,43500
2024-01,nippon-metal,rice-roofers,glass-decoration,123,106400,106400
2024-01,nippon-metal,rice-roofers,gold-clip,68,35400,35400
2024-01,nippon-metal,rice-roofers,gold-decoration,140,54500,54500
2024-01,nippon-metal,rice-roofers,roof-polish,158,39100,39100
2024-01,nippon-metal,rice-roofers,tin-decoration,210,19500,19500
2024-01,us-steel,global-roof,glass-clip,95,116500,116500
2024-01,us-steel,global-roof,gold-clip,78,42200,42200
2024-01,us-steel,global-roof,gold-decoration,202,98900,98900
2024-01,us-steel,global-roof,roof-polish,188,47400,47400
2024-01,us-steel,global-roof,tin-clip,209,19300,19300
2024-01,us-steel,global-roof,tin-decoration,233,20100,20100
2024-01,us-steel,ranger-roofing,glass-clip,64,78600,78600
2024-01,us-steel,ranger-roofing,glass-decoration,69,62800,62800
2024-01,us-steel,ranger-roofing,roof-polish,158,32600,32600
2024-01,us-steel,zztop-roof,gold-clip,127,71000,71000
2024-01,us-steel,zztop-roof,gold-decoration,248,116800,116800
2024-01,us-steel,zztop-roof,roof-polish,150,36400,36400
2024-01,us-steel,zztop-roof,tin-clip,151,17000,17000
2024-02,nippon-metal,global-roof,glass-decoration,132,130500,246000
2024-02,nippon-metal,global-roof,gold-clip,211,100200,100200
2024-02,nippon-metal,global-roof,gold-decoration,75,29300,29300
2024-02,nippon-metal,global-roof,roof-polish,138,34200,76400
2024-02,nippon-metal,global-roof,tin-clip,42,3900,20700
2024-02,nippon-metal,global-roof,tin-decoration,79,7200,29400
2024-02,nippon-metal,ninja-roofing,glass-clip,170,180500,453900
2024-02,nippon-metal,ninja-roofing,glass-decoration,55,46100,177200
2024-02,nippon-metal,ninja-roofing,gold-clip,189,85400,173500
2024-02,nippon-metal,ninja-roofing,gold-decoration,72,35700,148100
2024-02,nippon-metal,ninja-roofing,roof-polish,128,33200,80600
2024-02,nippon-metal,ninja-roofing,tin-decoration,223,26000,53300
2024-02,nippon-metal,rice-roofers,glass-clip,219,248800,292300
2024-02,nippon-metal,rice-roofers,glass-decoration,47,37400,143800
2024-02,nippon-metal,rice-roofers,tin-clip,68,8500,8500
2024-02,us-steel,ranger-roofing,glass-clip,87,93100,171700
2024-02,us-steel,ranger-roofing,glass-decoration,241,227100,289900
2024-02,us-steel,ranger-roofing,gold-decoration,148,68000,68000
2024-02,us-steel,ranger-roofing,roof-polish,138,28800,61400
2024-02,us-steel,ranger-roofing,tin-clip,181,22200,22200
2024-02,us-steel,ranger-roofing,tin-decoration,156,15500,15500
2024-03,nippon-metal,global-roof,glass-clip,42,45700,274800
2024-03,nippon-metal,global-roof,glass-decoration,119,109000,355000
2024-03,nippon-metal,global-roof,roof-polish,127,28300,104700
2024-03,nippon-metal,ninja-roofing,glass-clip,60,57400,511300
2024-03,nippon-metal,ninja-roofing,glass-decoration,159,140800,318000
2024-03,nippon-metal,ninja-roofing,gold-clip,134,63300,236800
2024-03,nippon-metal,ninja-roofing,gold-decoration,163,83800,231900
2024-03,nippon-metal,ninja-roofing,roof-polish,227,50400,131000
2024-03,nippon-metal,ninja-roofing,tin-clip,232,28100,44100
2024-03,nippon-metal,ninja-roofing,tin-decoration,173,19600,72900
2024-03,us-steel,global-roof,glass-clip,79,97600,214100
2024-03,us-steel,global-roof,gold-decoration,61,31400,130300
2024-03,us-steel,global-roof,tin-clip,232,30100,49400
2024-03,us-steel,global-roof,tin-decoration,192,22000,42100
2024-03,us-steel,ranger-roofing,glass-clip,191,228400,400100
2024-03,us-steel,ranger-roofing,glass-decoration,208,179500,469400
2024-03,us-steel,ranger-roofing,gold-clip,110,68400,68400
2024-03,us-steel,ranger-roofing,gold-decoration,43,20600,88600
2024-03,us-steel,ranger-roofing,roof-polish,194,37600,99000
2024-03,us-steel,ranger-roofing,tin-clip,73,8400,30600
2024-03,us-steel,ranger-roofing,tin-decoration,246,21500,37000
2024-03,us-steel,zztop-roof,glass-clip,82,75000,75000
2024-03,us-steel,zztop-roof,glass-decoration,192,184300,184300
2024-03,us-steel,zztop-roof,gold-clip,226,137200,208200
2024-03,us-steel,zztop-roof,gold-decoration,106,39200,156000
2024-03,us-steel,zztop-roof,roof-polish,186,34200,70600
2024-03,us-steel,zztop-roof,tin-decoration,161,16400,16400
2024-04,nippon-metal,global-roof,gold-clip,237,115900,216100
2024-04,nippon-metal,global-roof,gold-decoration,126,59000,88300
2024-04,nippon-metal,global-roof,roof-polish,212,50900,155600
2024-04,nippon-metal,global-roof,tin-clip,227,26500,47200
2024-04,nippon-metal,global-roof,tin-decoration,86,7900,37300
2024-04,nippon-metal,ninja-roofing,glass-clip,161,164300,675600
2024-04,nippon-metal,ninja-roofing,glass-decoration,204,164100,482100
2024-04,nippon-metal,ninja-roofing,gold-clip,231,147800,384600
2024-04,nippon-metal,ninja-roofing,gold-decoration,176,69900,301800
2024-04,nippon-metal,ninja-roofing,roof-polish,249,47100,178100
2024-04,nippon-metal,ninja-roofing,tin-decoration,82,8000,80900
2024-04,nippon-metal,rice-roofers,glass-clip,206,256100,548400
2024-04,nippon-metal,rice-roofers,gold-clip,175,102700,138100
2024-04,nippon-metal,rice-roofers,gold-decoration,137,64200,118700
2024-04,nippon-metal,rice-roofers,roof-polish,176,40700,79800
2024-04,nippon-metal,rice-roofers,tin-clip,150,17200,25700
2024-04,nippon-metal,rice-roofers,tin-decoration,50,4200,23700
2024-05,nippon-metal,global-roof,gold-clip,57,31300,247400
2024-05,nippon-metal,global-roof,roof-polish,91,20800,176400
2024-05,nippon-metal,global-roof,tin-decoration,85,8900,46200
2024-05,nippon-metal,ninja-roofing,glass-clip,203,192600,868200
2024-05,nippon-metal,ninja-roofing,gold-clip,198,92700,477300
2024-05,nippon-metal,ninja-roofing,gold-decoration,194,73900,375700
2024-05,nippon-metal,ninja-roofing,roof-polish,95,24300,202400
2024-05,nippon-metal,ninja-roofing,tin-clip,70,6500,50600
2024-05,nippon-metal,ninja-roofing,tin-decoration,192,20100,101000
2024-05,nippon-metal,rice-roofers,glass-clip,55,57900,606300
2024-05,nippon-metal,rice-roofers,glass-decoration,237,229000,372800
2024-05,nippon-metal,rice-roofers,gold-clip,58,29300,167400
2024-05,nippon-metal,rice-roofers,gold-decoration,105,40500,159200
2024-05,nippon-metal,rice-roofers,roof-polish,59,13600,93400
2024-05,nippon-metal,rice-roofers,tin-clip,217,27400,53100
2024-05,nippon-metal,rice-roofers,tin-decoration,110,12000,35700
2024-05,us-steel,global-roof,glass-decoration,205,160900,160900
2024-05,us-steel,global-roof,gold-clip,181,82900,125100
2024-05,us-steel,global-roof,gold-decoration,60,29700,160000
2024-05,us-steel,global-roof,roof-polish,138,32100,79500
2024-05,us-steel,global-roof,tin-clip,234,28200,77600
2024-05,us-steel,ranger-roofing,glass-clip,226,274000,674100
2024-05,us-steel,ranger-roofing,gold-clip,177,112800,181200
2024-05,us-steel,ranger-roofing,gold-decoration,216,106000,194600
2024-05,us-steel,ranger-roofing,roof-polish,97,17500,116500
2024-05,us-steel,ranger-roofing,tin-clip,241,22400,53000
2024-05,us-steel,ranger-roofing,tin-decoration,163,13900,50900
2024-05,us-steel,zztop-roof,glass-clip,203,182800,257800
2024-05,us-steel,zztop-roof,glass-decoration,108,83000,267300
2024-05,us-steel,zztop-roof,gold-clip,49,28600,236800
2024-05,us-steel,zztop-roof,gold-decoration,226,90400,246400
2024-05,us-steel,zztop-roof,roof-polish,58,10800,81400
2024-05,us-steel,zztop-roof,tin-clip,167,16000,33000
2024-05,us-steel,zztop-roof,tin-decoration,154,12600,29000
2024-06,nippon-metal,global-roof,gold-clip,54,27900,275300
2024-06,nippon-metal,global-roof,gold-decoration,176,90500,178800
2024-06,nippon-metal,global-roof,roof-polish,247,53300,229700
2024-06,nippon-metal,global-roof,tin-clip,44,4000,51200
2024-06,nippon-metal,ninja-roofing,glass-decoration,61,61200,543300
2024-06,nippon-metal,ninja-roofing,gold-clip,75,34300,511600
2024-06,nippon-metal,ninja-roofing,roof-polish,152,36300,238700
2024-06,us-steel,global-roof,gold-clip,149,77100,202200
2024-06,us-steel,global-roof,gold-decoration,244,111900,271900
2024-06,us-steel,global-roof,roof-polish,249,61100,140600
2024-06,us-steel,global-roof,tin-clip,69,7600,85200
2024-06,us-steel,global-roof,tin-decoration,56,6200,48300
2024-06,us-steel,zztop-roof,glass-clip,76,83300,341100
2024-06,us-steel,zztop-roof,gold-clip,198,90900,327700
2024-06,us-steel,zztop-roof,gold-decoration,44,19200,265600
2024-06,us-steel,zztop-roof,roof-polish,219,50800,132200
2024-06,us-steel,zztop-roof,tin-clip,188,18700,51700
2024-06,us-steel,zztop-roof,tin-decoration,58,4800,33800
2024-08,nippon-metal,ninja-roofing,glass-clip,243,239400,1107600
2024-08,nippon-metal,ninja-roofing,glass-decoration,122,120500,663800
2024-08,nippon-metal,ninja-roofing,roof-polish,51,11600,250300
2024-08,nippon-metal,rice-roofers,gold-clip,218,114200,281600
2024-08,nippon-metal,rice-roofers,gold-decoration,188,68900,228100
2024-08,nippon-metal,rice-roofers,tin-decoration,82,7900,43600
2024-08,us-steel,global-roof,glass-clip,234,303000,517100
2024-08,us-steel,global-roof,roof-polish,237,54500,195100
2024-08,us-steel,global-roof,tin-clip,169,16700,101900
2024-08,us-steel,ranger-roofing,glass-clip,167,191200,865300
2024-08,us-steel,ranger-roofing,glass-decoration,62,57100,526500
2024-08,us-steel,ranger-roofing,tin-clip,240,24500,77500
2024-08,us-steel,ranger-roofing,tin-decoration,147,11900,62800
2024-08,us-steel,zztop-roof,glass-clip,217,206300,547400
2024-08,us-steel,zztop-roof,glass-decoration,173,149500,416800
2024-08,us-steel,zztop-roof,gold-clip,76,43900,371600
2024-08,us-steel,zztop-roof,gold-decoration,62,29300,294900
2024-08,us-steel,zztop-roof,roof-polish,242,58500,190700
